date,name,grams
5/9/25,Chex,134
5/9/25,Raisin Bran,796
5/9/25,Frosted Mini Wheats,308
5/9/25,Life,225
5/5/25,Cheerios,544
5/5/25,Honey Nut Cheerios, 
5/5/25,Corn Flakes,634
5/5/25,Honey Nut Chex,157
5/5/25,Chex,134
5/5/25,Raisin Bran,796
5/5/25,Frosted Mini Wheats,308
5/5/25,Life,225
5/2/25,Cheerios,544
5/2/25,Honey Nut Cheerios, 
5/2/25,Corn Flakes,634
5/2/25,Honey Nut Chex,157
5/2/25,Chex,134
5/2/25,Raisin Bran,796
5/2/25,Frosted Mini Wheats,308
5/2/25,Life,225
4/28/25,Cheerios,583
4/28/25,Honey Nut Cheerios,609
4/28/25,Corn Flakes,657
4/28/25,Honey Nut Chex,209
4/28/25,Chex,134
4/28/25,Raisin Bran,863
4/28/25,Frosted Mini Wheats,373
4/28/25,Life,326
4/25/25,Cheerios,583
4/25/25,Honey Nut Cheerios,645
4/25/25,Corn Flakes,679
4/25/25,Honey Nut Chex,209
4/25/25,Chex,193
4/25/25,Raisin Bran,158
4/25/25,Frosted Mini Wheats,543
4/25/25,Life,382
4/21/25,Cheerios,583
4/21/25,Honey Nut Cheerios,678
4/21/25,Corn Flakes,708
4/21/25,Honey Nut Chex,209
4/21/25,Chex,193
4/21/25,Raisin Bran,245
4/21/25,Frosted Mini Wheats,543
4/21/25,Life,382
4/18/25,Cheerios,583
4/18/25,Honey Nut Cheerios,749
4/18/25,Corn Flakes,759
4/18/25,Honey Nut Chex,260
4/18/25,Chex,192
4/18/25,Raisin Bran,390
4/18/25,Frosted Mini Wheats,543
4/18/25,Life,408
4/15/25,Cheerios,583
4/15/25,Honey Nut Cheerios,785
4/15/25,Corn Flakes,787
4/15/25,Honey Nut Chex,324
4/15/25,Chex,192
4/15/25,Raisin Bran,453
4/15/25,Frosted Mini Wheats,543
4/15/25,Life,478
4/11/25,Cheerios,583
4/11/25,Honey Nut Cheerios,901
4/11/25,Corn Flakes,821
4/11/25,Honey Nut Chex,364
4/11/25,Chex,220
4/11/25,Raisin Bran,634
4/11/25,Frosted Mini Wheats,543
4/11/25,Life,478
4/7/25,Cheerios,583
4/7/25,Honey Nut Cheerios,150
4/7/25,Corn Flakes,0
4/7/25,Honey Nut Chex,363
4/7/25,Chex,220
4/7/25,Raisin Bran,725
4/7/25,Frosted Mini Wheats,627
4/7/25,Life,478
4/4/25,Cheerios,582
4/4/25,Honey Nut Cheerios,185
4/4/25,Corn Flakes,169
4/4/25,Honey Nut Chex,363
4/4/25,Chex,219
4/4/25,Raisin Bran,790
4/4/25,Frosted Mini Wheats,802
4/4/25,Life,540
3/31/25,Cheerios,582
3/31/25,Honey Nut Cheerios,223
3/31/25,Corn Flakes,258
3/31/25,Honey Nut Chex,362
3/31/25,Chex,219
3/31/25,Raisin Bran,0
3/31/25,Frosted Mini Wheats,802
3/31/25,Life,614
3/28/25,Cheerios,582
3/28/25,Honey Nut Cheerios,251
3/28/25,Corn Flakes,280
3/28/25,Chex,236
3/28/25,Raisin Bran,221
3/28/25,Frosted Mini Wheats,0
3/28/25,Life,614
3/21/25,Cheerios,617
3/21/25,Honey Nut Cheerios,343
3/21/25,Corn Flakes,302
3/21/25,Chex,235
3/21/25,Raisin Bran,286
3/21/25,Frosted Mini Wheats,181
3/21/25,Life,727
3/24/25,Cheerios,582
3/24/25,Honey Nut Cheerios,343
3/24/25,Corn Flakes,303
3/24/25,Chex,235
3/24/25,Raisin Bran,286
3/24/25,Frosted Mini Wheats,0
3/24/25,Life,670
